# filename,projectID,fileID

# Libs
patchouli,306770,4966125
geckolib,388172,5675221
sinytra_connector,890127,5605667
yungs_api,421850,5769971
bclib,495191,4971470
iris_oculus_geckolib_compat,959388,5018199
forgified_fabric_api,889079,5387432
zeta,968868,5597406
curios_api,309927,5680164
moonlightlib,499980,5768751
citadel,331936,5633260
obscure_api,638417,4616364
terrablender,563928,5378180
necronomicon_api,586157,5772681

# Utility
just_enough_items,238222,5626488
# just_enough_resources,240630,5057220
jade,324717,5672013
appleskin,248787,4770828
mouse_tweaks,60089,5338457
paxi,515708,4749994
harvest_level_tweaker,833035,5760642
you_shall_not_spawn,628744,5820960
incontrol,257356,5932870

# Performance
embeddium,908741,5034486
lazurite,928687,5070069

# Visual
complementary_shaders_unbound,385587,5507479
traveler's_titles,504908,5065825
oculus,581495,4767500
euphoria_patches,915902,5511963
dynamic_crosshair,623800,5027231

# Biomes/Dimensions
betternether,311377,4971478
the_abyss_ii_the_other_side,440647,5129404
the_ceilands,646626,6070357
the_undergarden,379849,5182632
deeper_and_darker,659011,5698212
the_aether,255308,5302178
infinite_abyss,677576,5340597
betterend,413596,4971487
galosphere,631098,4983871
spelunkers_charm,886997,5333907
# spelunkery,790530,5727135
alexs_caves,924854,5633305
aquamirae,536254,4616373
yungs_cave_biomes,1111586,6241006
voidscape,251730,5179872
cavernsandchasms,438005,6040957
regionsunexplored,659110,5558225
aetherredux,867237,5872671
deepaether,852465,6221130

# Other
grappling_hook:_restitched,820533,5226155
immersive_portals,332273,4766130
quark,243121,5594847
quark_oddities,301051,5070502
copper_tools,1045055,5472974

# mobs
alexs_mobs,426558,5698791
# made_in_abyss:_shroombears,1029082,5390423
